row_index,name,original,dataset,emotion,sigma,blur_name,blur_path,person_id
0,0921.png,MK.FE1.131.png,JAFFE,fear,0,0921_s0.png,data/1_blurred/sigma_0/0921_s0.png,MK
1,0921.png,MK.FE1.131.png,JAFFE,fear,1,0921_s1.png,data/1_blurred/sigma_1/0921_s1.png,MK
2,0921.png,MK.FE1.131.png,JAFFE,fear,2,0921_s2.png,data/1_blurred/sigma_2/0921_s2.png,MK
3,0921.png,MK.FE1.131.png,JAFFE,fear,3,0921_s3.png,data/1_blurred/sigma_3/0921_s3.png,MK
4,0921.png,MK.FE1.131.png,JAFFE,fear,4,0921_s4.png,data/1_blurred/sigma_4/0921_s4.png,MK
5,0922.png,KA.HA3.31.png,JAFFE,happy,0,0922_s0.png,data/1_blurred/sigma_0/0922_s0.png,KA
6,0922.png,KA.HA3.31.png,JAFFE,happy,1,0922_s1.png,data/1_blurred/sigma_1/0922_s1.png,KA
7,0922.png,KA.HA3.31.png,JAFFE,happy,2,0922_s2.png,data/1_blurred/sigma_2/0922_s2.png,KA
8,0922.png,KA.HA3.31.png,JAFFE,happy,3,0922_s3.png,data/1_blurred/sigma_3/0922_s3.png,KA
9,0922.png,KA.HA3.31.png,JAFFE,happy,4,0922_s4.png,data/1_blurred/sigma_4/0922_s4.png,KA
10,0923.png,KM.SA2.10.png,JAFFE,sad,0,0923_s0.png,data/1_blurred/sigma_0/0923_s0.png,KM
11,0923.png,KM.SA2.10.png,JAFFE,sad,1,0923_s1.png,data/1_blurred/sigma_1/0923_s1.png,KM
12,0923.png,KM.SA2.10.png,JAFFE,sad,2,0923_s2.png,data/1_blurred/sigma_2/0923_s2.png,KM
13,0923.png,KM.SA2.10.png,JAFFE,sad,3,0923_s3.png,data/1_blurred/sigma_3/0923_s3.png,KM
14,0923.png,KM.SA2.10.png,JAFFE,sad,4,0923_s4.png,data/1_blurred/sigma_4/0923_s4.png,KM
15,0924.png,MK.DI1.128.png,JAFFE,disgust,0,0924_s0.png,data/1_blurred/sigma_0/0924_s0.png,MK
16,0924.png,MK.DI1.128.png,JAFFE,disgust,1,0924_s1.png,data/1_blurred/sigma_1/0924_s1.png,MK
17,0924.png,MK.DI1.128.png,JAFFE,disgust,2,0924_s2.png,data/1_blurred/sigma_2/0924_s2.png,MK
18,0924.png,MK.DI1.128.png,JAFFE,disgust,3,0924_s3.png,data/1_blurred/sigma_3/0924_s3.png,MK
19,0924.png,MK.DI1.128.png,JAFFE,disgust,4,0924_s4.png,data/1_blurred/sigma_4/0924_s4.png,MK
20,0925.png,MK.AN3.127.png,JAFFE,angry,0,0925_s0.png,data/1_blurred/sigma_0/0925_s0.png,MK
21,0925.png,MK.AN3.127.png,JAFFE,angry,1,0925_s1.png,data/1_blurred/sigma_1/0925_s1.png,MK
22,0925.png,MK.AN3.127.png,JAFFE,angry,2,0925_s2.png,data/1_blurred/sigma_2/0925_s2.png,MK
23,0925.png,MK.AN3.127.png,JAFFE,angry,3,0925_s3.png,data/1_blurred/sigma_3/0925_s3.png,MK
24,0925.png,MK.AN3.127.png,JAFFE,angry,4,0925_s4.png,data/1_blurred/sigma_4/0925_s4.png,MK
25,0926.png,UY.SU1.143.png,JAFFE,surprise,0,0926_s0.png,data/1_blurred/sigma_0/0926_s0.png,UY
26,0926.png,UY.SU1.143.png,JAFFE,surprise,1,0926_s1.png,data/1_blurred/sigma_1/0926_s1.png,UY
